311,https://archive.org/details/311,http://musicbrainz.org/artist/bf600e2b-dc2d-4839-a1be-6ebef4087cd0,"Omaha, Nebraska, USA",http://www.311.com/
1981,https://archive.org/details/1981,N/A,"Strasbourg, Alsace, France",
...And Stars Collide,https://archive.org/details/AndStarsCollide,http://musicbrainz.org/artist/97ea1793-4121-438b-9147-a8f538c293d2,"Nottingham, England",http://www.andstarscollide.com/
...And You Will Know Us By the Trail of Dead,https://archive.org/details/AndYouWillKnowUsBytheTrailofDead,http://musicbrainz.org/artist/9c1ff574-2ae4-4fea-881f-83293d0d5881,"Austin, Texas, USA",https://andyouwillknowusbythetrailofdead.bandpage.com
...in the Attic,https://archive.org/details/intheAttic,N/A,"Winona, MN",http://www.myspace.com/intheattic
.357 String Band,https://archive.org/details/357StringBand,http://musicbrainz.org/artist/a2c6847d-16de-4f26-b57f-5abc4441d20e,"Milwaukee, Wisconsin, USA",http://www.myspace.com/357stringband
& the #'s,https://archive.org/details/AndTheNumbers,,"Pittsburgh, PA, USA",
0xA,https://archive.org/details/0xAMusic,N/A,,http://0xa.kuri.mu/
1000 vertical ft.,https://archive.org/details/1000verticalft,http://musicbrainz.org/artist/27a86eff-b36d-4e8c-8088-7da1169cfec4,"Wisconsin, USA",http://1kvf.com/
11th House,https://archive.org/details/11thHouse,N/A,"Richmond, Virginia, USA",http://www.11thhouse.net/
12HOCHNULL,https://archive.org/details/12HOCHNULL,N/A,Germany,http://12hochnull.weebly.com/
2 Skinnee Js,https://archive.org/details/2SkinneeJs,https://musicbrainz.org/artist/1d16e8ce-afe0-4f70-bb94-8742756d2589,"Brooklyn, New York, USA",http://www.2sj.com/
22 Creations Music,https://archive.org/details/22CreationsMusic,N/A,,
24 Hour Police Autopsy Live,https://archive.org/details/24HourPoliceAutopsyLive,,,
28 North,https://archive.org/details/28North,N/A,"Pittsburgh, Pennsylvania, USA",http://www.myspace.com/28norththeband
2me,https://archive.org/details/2memusic,http://musicbrainz.org/artist/b9a34a2c-9b9a-430a-ae42-22cbb9d9152e,"Sacramento, California, USA",http://www.2memusic.com/
2nd Thought,https://archive.org/details/2ndThought,,,
3 Dimensional Figures,https://archive.org/details/3DimensionalFigures,N/A,"Glens Falls, New York, USA",www.myspace.com/3df
3 Leafs,https://archive.org/details/3leafs,N/A,"San Francisco, California, USA",http://3leafs.bandcamp.com/
3 Peas,https://archive.org/details/3Peas,,,
3 Ply,https://archive.org/details/3_Ply,,,
3 Simple Words,https://archive.org/details/3SimpleWords,N/A,"Long Island, New York, USA",http://www.reverbnation.com/3Simplewords
3 Twins,https://archive.org/details/3Twins,N/A,,http://3twinsmusic.com/
30 Dollars,https://archive.org/details/30Dollars,N/A,"Chicago, Illinois, USA",https://www.facebook.com/pages/30-Dollars/112034962205371
37 Including You,https://archive.org/details/37IncludingYou,N/A,"Charlotte, North Carolina, USA",http://www.myspace.com/37includingyou
3ApplesHigh,https://archive.org/details/3ApplesHigh,N/A,"Pittsburgh, Pennsylvania, USA",http://www.myspace.com/3appleshighmusic
3fifths,https://archive.org/details/3fifths,N/A,"Baltimore, Maryland, USA",http://www.myspace.com/3fifths
3PEACE,https://archive.org/details/3PEACE,,,
3SonGreen,https://archive.org/details/3SonGreen,N/A,"Kansas City, Kansas, USA",https://www.facebook.com/pages/3-Son-Green/89583659620
40 Rod Lightning,https://archive.org/details/40RodLightning,N/A,"Rochester, New York, USA",http://www.40rodlightning.com/
40to5 Funk,https://archive.org/details/40to5Funk,,,
420 Band,https://archive.org/details/420Band,,,
5-Track,https://archive.org/details/5-Track,N/A,"California, USA",http://www.5-track.com/
50 Foot Wave,https://archive.org/details/50FootWave,http://musicbrainz.org/artist/b2d1207f-bc0e-4228-9d29-874973960f04,"Los Angeles, California, USA",http://50footwave.cashmusic.org/
54 Bicycles,https://archive.org/details/54Bicycles,N/A,"Charleston, South Carolina, USA",https://www.facebook.com/54Bicycles
56 Hope Road,https://archive.org/details/56HopeRoad,N/A,"Chicago, Illinois, USA",http://www.56hoperd.com/
5point,https://archive.org/details/5point,,,
5th Pocket,https://archive.org/details/5thPocket,N/A,"Amherst, Massachusetts, USA",http://www.myspace.com/the5thpocket
6 Day Bender,https://archive.org/details/6DayBender,http://musicbrainz.org/artist/8aa7c334-c128-4057-9e66-49478498032e,"Charlottesville, Virginia, USA",https://www.facebook.com/6DayBender
600LBS Of Sin!,https://archive.org/details/600LBSOfSin,N/A,"Charleston, West Virginia, USA",http://www.600lbsofsin.com/fr_home.cfm
6gig,https://archive.org/details/6gig,http://musicbrainz.org/artist/8a6304dd-6949-4434-95ec-a602fc34fd76,"Portland, Maine, USA",https://www.facebook.com/6gigOfficial
7 Below - A Tribute to Phish,https://archive.org/details/7Below-ATributeToPhish,N/A,"Northampton, Massachusetts, USA",https://www.facebook.com/7belowphish
7 Walkers,https://archive.org/details/7Walkers,http://musicbrainz.org/artist/bd76c01d-a66a-4d9f-9084-1ede71f5e3c8,"New Orleans, Louisiana, USA",7walkers.com
72 Hour Hold,https://archive.org/details/72HourHold,,,
7Horse,https://archive.org/details/7Horse,http://musicbrainz.org/artist/b984c827-6945-42b0-be28-04b6452814f2,"Los Angeles, California, USA and Seattle, Washington, USA",http://7horsemusic.com/
8 Minutes to Burn,https://archive.org/details/8MinutesToBurn,N/A,"Tucson, Arizona, USA",https://www.facebook.com/8MinutesToBurn
8 Ohms Band,https://archive.org/details/8OhmsBand,N/A,"Annapolis, Maryland, USA",http://www.8ohmsband.com/home.cfm
8-Track,https://archive.org/details/8-Track,,,
